customer_id,age,gender,education_level,employment_type,annual_income,loan_amount,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag,year,month,day,weekday,region_North,region_South,region_West,loan_purpose_Car,loan_purpose_Education,loan_purpose_Home,loan_purpose_Other,income_bin,income_quantile,income_cluster,annual_income_scaled,annual_income_mm,annual_income_rb,annual_income_ma,income_log,income_sqrt,income_reciprocal,income_boxcox,income_yeojohnson,income_ft,debt_to_income,spending_to_income,avg_monthly_transactions
CUST0001,59.0,0,3,Salaried,1018374.0,906626.0,536.0,1.0,81.0,60.39,2024-09-15,0.0,2024,9,15,Sunday,False,False,False,True,False,False,False,"(710068.8, 1130593.6]","(641779.6, 1135283.4]",1,-0.5086418940376763,0.3466287838434261,-0.3294183903451185,0.4257117393092793,13.833718777612942,1009.1451828156343,9.819565484227323e-07,52543.22777001218,-0.4461074323829121,13.833718777612942,0.8902682118750086,5.930041418967884e-05,6.75
CUST0002,49.0,0,1,Self-Employed,1905548.0,913349.0,345.0,8.0,152.0,22.61,2018-05-02,1.0,2018,5,2,Wednesday,False,False,True,False,False,False,False,"(1551118.4, 1971643.2]","(1594696.2, 2040611.2]",0,0.8316881876613779,0.7685653735522852,0.4543275914807531,0.7965778323261576,14.46028071400085,1380.4158793638967,5.24783146484294e-07,84936.4485984139,0.8370492591448929,14.46028071400085,0.47931041359231047,1.1865353168747257e-05,12.666666666666666
CUST0003,35.0,1,4,Salaried,289544.0,114200.0,561.0,5.0,292.0,24.63,2018-09-30,0.0,2018,9,30,Sunday,False,False,False,False,False,True,False,"(287441.376, 710068.8]","(289543.999, 641779.6]",3,-1.6097480732592515,0.0,-0.9732803429430869,0.12103832172322346,12.576066004330086,538.0929287771769,3.453694589787425e-06,20037.551871545737,-1.7337183081535819,12.576066004330086,0.3944132843367502,8.506479153427458e-05,24.333333333333332
CUST0004,63.0,0,2,Salaried,1335574.0,1204424.0,475.0,12.0,278.0,84.7,2021-08-10,0.0,2021,8,10,Tuesday,False,False,False,False,False,False,False,"(1130593.6, 1551118.4]","(1135283.4, 1594696.2]",4,-0.029420566637481983,0.4974879008324836,-0.049198021584124084,0.5583111219613338,14.104872468697353,1155.6703682278958,7.487411788929862e-07,64681.76355506517,0.03472288792955729,14.104872468697353,0.9018025208636886,6.341842533622248e-05,23.166666666666668
CUST0005,28.0,1,2,Self-Employed,289544.0,156022.0,465.0,8.0,250.0,57.46,2019-02-02,0.0,2019,2,2,Saturday,False,False,False,False,True,False,False,"(287441.376, 710068.8]","(289543.999, 641779.6]",3,-1.6097480732592515,0.0,-0.9732803429430869,0.12103832172322346,12.576066004330086,538.0929287771769,3.453694589787425e-06,20037.551871545737,-1.7337183081535819,12.576066004330086,0.5388541983256431,0.00019844997651479568,20.833333333333332
CUST0006,41.0,1,2,Salaried,945928.0,751979.0,669.0,1.0,254.0,83.94,2020-09-11,0.0,2020,9,11,Friday,True,False,False,False,False,False,True,"(710068.8, 1130593.6]","(641779.6, 1135283.4]",1,-0.6180922984665366,0.3121737410017198,-0.3934185316920889,0.3954270770280348,13.759922792363286,972.588299333279,1.057161795441307e-06,49653.574401891965,-0.5605720527285699,13.759922792363286,0.794964310180056,8.87382549200362e-05,21.166666666666668
CUST0007,59.0,2,1,Salaried,1779311.0,830741.0,353.0,2.0,172.0,41.58,2021-05-15,0.0,2021,5,15,Saturday,False,False,True,False,False,False,False,"(1551118.4, 1971643.2]","(1594696.2, 2040611.2]",0,0.6409710921159228,0.7085275351180239,0.34280748211353473,0.7438068730958696,14.391737330697442,1333.9081677536876,5.620149810713354e-07,80589.1657626567,0.6648451619691821,14.391737330697442,0.46688914978887897,2.336859604644719e-05,14.333333333333334
CUST0008,39.0,0,4,Salaried,1038036.0,1160644.0,718.0,11.0,69.0,62.22,2021-02-07,1.0,2021,2,7,Sunday,False,True,False,False,False,False,True,"(710068.8, 1130593.6]","(641779.6, 1135283.4]",1,-0.478936819197378,0.35597995647343517,-0.31204861452362204,0.4339310616980078,13.852841987544748,1018.8405174510876,9.633567974937309e-07,53319.09158675846,-0.4153740027771098,13.852841987544748,1.1181153640143502,5.994011768377975e-05,5.75
CUST0009,43.0,1,4,Salaried,1975977.0,520529.0,806.0,7.0,15.0,54.51,2021-07-25,1.0,2021,7,25,Sunday,True,False,False,False,False,False,False,"(1971643.2, 2392168.0]","(1594696.2, 2040611.2]",0,0.9380913366760951,0.8020611388436544,0.5165458775824809,0.8260193264018246,14.496574023624733,1405.6944902787377,5.060785089712537e-07,87332.47869369603,0.9319605448005118,14.496574023624733,0.26342867351188803,2.758635348488368e-05,1.25
CUST0010,31.0,0,1,Salaried,2392168.0,936364.0,640.0,0.0,206.0,37.13,2023-03-26,0.0,2023,3,26,Sunday,False,False,False,False,True,False,False,"(1971643.2, 2392168.0]","(2040611.2, 2392168.0]",2,1.566866883561386,1.0,0.8842167334936002,1.0,14.687711043730825,1546.6635057438964,4.180306658935886e-07,101112.15149637748,1.4777994674367319,14.687711043730825,0.3914290300681223,1.5521485113085705e-05,17.166666666666668
CUST0011,31.0,0,4,Salaried,1132599.0,211445.0,426.0,14.0,67.0,49.94,2022-02-14,0.0,2022,2,14,Monday,True,False,False,False,False,True,False,"(1130593.6, 1551118.4]","(641779.6, 1135283.4]",1,-0.33607236023475323,0.4009537606343312,-0.22850990477852146,0.4734613120817601,13.940026432661842,1064.2363459307335,8.829242450997704e-07,57004.06825066713,-0.2694051225725313,13.940026432661842,0.18669008183832053,4.4093275731304725e-05,5.583333333333333
CUST0012,44.0,0,1,Self-Employed,2302299.0,1235679.0,708.0,9.0,226.0,52.71,2023-04-01,0.0,2023,4,1,Saturday,False,False,False,False,True,False,False,"(1971643.2, 2392168.0]","(2040611.2, 2392168.0]",2,1.4310940542041095,0.9572586444366658,0.804824790491766,0.9624319863822274,14.649419181232462,1517.332857352005,4.3434826043521697e-07,98187.54278897066,1.3619501793641775,14.649419181232462,0.5367152572276668,2.2894506751729468e-05,18.833333333333332
CUST0013,56.0,1,1,Salaried,2392168.0,274605.0,666.0,14.0,35.0,27.07,2020-03-30,0.0,2020,3,30,Monday,False,False,False,False,False,True,False,"(1971643.2, 2392168.0]","(2040611.2, 2392168.0]",2,1.566866883561386,1.0,0.8842167334936002,1.0,14.687711043730825,1546.6635057438964,4.180306658935886e-07,101112.15149637748,1.4777994674367319,14.687711043730825,0.1147933589948532,1.1316094856214112e-05,2.9166666666666665
CUST0014,60.0,1,1,Salaried,696015.0,253047.0,570.0,14.0,14.0,36.78,2023-05-11,0.0,2023,5,11,Thursday,True,False,False,False,False,True,False,"(287441.376, 710068.8]","(641779.6, 1135283.4]",1,-0.9956573665452401,0.19331606602036314,-0.6141963154820208,0.290955735550346,13.453127927558072,834.2751344730347,1.4367485804924025e-06,39248.21862659456,-0.9727477975463108,13.453127927558072,0.3635654403999914,5.284368871360531e-05,1.1666666666666667
CUST0015,44.0,0,2,Salaried,1293657.0,859217.0,678.0,14.0,29.0,77.27,2024-06-26,0.0,2024,6,26,Wednesday,False,False,True,False,False,False,True,"(1130593.6, 1551118.4]","(1135283.4, 1594696.2]",4,-0.09274818448311233,0.4775523346066629,-0.08622827756569597,0.5407885232140887,14.07298442235619,1137.390434283672,7.730018289223272e-07,63119.939596110504,-0.027143909561408483,14.07298442235619,0.6641768258510563,5.9729897492148223e-05,2.4166666666666665
CUST0016,23.0,0,4,Self-Employed,1583441.0,299768.0,372.0,6.0,207.0,87.84,2018-06-28,0.0,2018,6,28,Thursday,False,False,False,False,True,False,False,"(1551118.4, 1971643.2]","(1135283.4, 1594696.2]",4,0.34505343323232873,0.6153725059734884,0.1697722878221855,0.6619271723390665,14.275111516566623,1258.3485208796487,6.315356040827514e-07,73697.54018783681,0.3918548401305407,14.275111516566623,0.18931428452338925,5.547412249651234e-05,17.25
CUST0017,42.0,0,1,Salaried,1790920.0,734029.0,547.0,6.0,68.0,40.58,2020-06-15,0.0,2020,6,15,Monday,False,False,True,False,False,False,False,"(1551118.4, 1971643.2]","(1594696.2, 2040611.2]",0,0.6585098070900366,0.7140487314897956,0.35306308823253346,0.7486597931248976,14.398240570633929,1338.2525920019732,5.583719214862074e-07,80991.88884587846,0.6807977850667399,14.398240570633929,0.4098614120117035,2.2658745225917406e-05,5.666666666666667
CUST0018,22.0,1,4,Salaried,1857017.0,1193051.0,342.0,12.0,251.0,36.09,2024-03-16,0.0,2024,3,16,Saturday,False,True,False,False,True,False,False,"(1551118.4, 1971643.2]","(1594696.2, 2040611.2]",0,0.7583682310407637,0.7454842140106838,0.4114544051114598,0.7762903775988977,14.434482533341177,1362.7241100090657,5.384977420789675e-07,83273.36843046584,0.7711715072886401,14.434482533341177,0.6424556156459527,1.9434393977007214e-05,20.916666666666668
